기준일,기준가격,등락가,등락비율,,
2018-03-27,144.50 ,0.00 ,0.00 ,,
2018-03-28,144.50 ,0.00 ,0.00 ,,
2018-03-29,144.50 ,0.00 ,0.00 ,,
2018-03-30,144.50 ,0.00 ,0.00 ,,
2018-04-02,144.50 ,0.00 ,0.00 ,,
2018-04-03,142.50 ,-2.00 ,-1.38 ,,
2018-04-04,140.50 ,-2.00 ,-1.40 ,,
2018-04-08,153.50 ,13.00 ,9.25 ,,
2018-04-09,139.50 ,-14.00 ,-9.12 ,,
2018-04-10,138.50 ,-1.00 ,-0.72 ,,
2018-04-11,138.50 ,0.00 ,0.00 ,,
2018-04-12,138.50 ,0.00 ,0.00 ,,
2018-04-13,138.50 ,0.00 ,0.00 ,,
2018-04-16,135.50 ,-3.00 ,-2.17 ,,
2018-04-17,134.50 ,-1.00 ,-0.74 ,,
2018-04-18,134.50 ,0.00 ,0.00 ,,
2018-04-19,134.50 ,0.00 ,0.00 ,,
2018-04-20,134.50 ,0.00 ,0.00 ,,
2018-04-23,134.50 ,0.00 ,0.00 ,,
2018-04-24,133.50 ,-1.00 ,-0.74 ,,
2018-04-25,133.50 ,0.00 ,0.00 ,,
2018-04-26,133.50 ,0.00 ,0.00 ,,
2018-04-27,133.50 ,0.00 ,0.00 ,,
2018-04-28,133.50 ,0.00 ,0.00 ,,
2018-05-02,132.50 ,-1.00 ,-0.75 ,,
2018-05-03,131.50 ,-1.00 ,-0.75 ,,
2018-05-04,131.50 ,0.00 ,0.00 ,,
2018-05-07,131.50 ,0.00 ,0.00 ,,
2018-05-08,131.50 ,0.00 ,0.00 ,,
2018-05-09,131.50 ,0.00 ,0.00 ,,
2018-05-10,131.50 ,0.00 ,0.00 ,,
2018-05-11,131.50 ,0.00 ,0.00 ,,
2018-05-14,131.50 ,0.00 ,0.00 ,,
2018-05-15,131.50 ,0.00 ,0.00 ,,
2018-05-16,131.50 ,0.00 ,0.00 ,,
2018-05-17,131.50 ,0.00 ,0.00 ,,
2018-05-18,131.50 ,0.00 ,0.00 ,,
2018-05-21,131.50 ,0.00 ,0.00 ,,
2018-05-22,131.50 ,0.00 ,0.00 ,,
2018-05-23,131.50 ,0.00 ,0.00 ,,
