일자,종가지수,평균지수,한국금리,미국금리,3년 국채,동행지수,선행지수,한국GDP,GDP+금리,GDP+금리+선행지수,GDP+금리+선행지수(크게),금리,100,금리+선행지수,3년국채+선행지수,
201504,2127.17,2107.09,1.75,0.25,1.738181818,99.9,100.4,"1,594,626.07"," 1,315,567 "," 1,320,828.77 "," 1,368,189.17 ",0.825,1.04,85.8,0.826181818,85.92290909
201505,2114.8,2108.345,1.75,0.25,1.876666667,99.4,100.6,"1,602,550.36"," 1,322,104 "," 1,330,036.67 "," 1,401,430.29 ",0.825,1.06,87.45,0.812333333,86.10733333
201506,2074.2,2059.67,1.5,0.25,1.774090909,99.4,100.4,"1,610,474.65"," 1,368,903 "," 1,374,379.07 "," 1,423,659.59 ",0.85,1.04,88.4,0.822590909,85.54945455
201507,2030.16,2047.295,1.5,0.25,1.778695652,99.4,100.4,"1,618,398.94"," 1,375,639 "," 1,381,141.66 "," 1,430,664.66 ",0.85,1.04,88.4,0.822130435,85.50156522
201508,1941.49,1919.58,1.5,0.25,1.7355,99.9,100.3,"1,626,323.23"," 1,382,375 "," 1,386,521.87 "," 1,423,845.99 ",0.85,1.03,87.55,0.82645,85.12435
201509,1962.81,1932.475,1.5,0.25,1.6525,100.5,100.5,"1,634,247.53"," 1,389,110 "," 1,396,055.95 "," 1,458,565.92 ",0.85,1.05,89.25,0.83475,87.64875
201510,2029.47,2011.675,1.5,0.25,1.628095238,100.9,100.5,"1,642,171.82"," 1,395,846 "," 1,402,825.27 "," 1,465,638.35 ",0.85,1.05,89.25,0.837190476,87.905
201511,1991.97,1999.485,1.5,0.25,1.752857143,100.7,100.4,"1,650,096.11"," 1,402,582 "," 1,408,192.02 "," 1,458,684.96 ",0.85,1.04,88.4,0.824714286,85.77028571
201512,1961.31,1972.775,1.5,0.5,1.719545455,100.6,100,"1,658,020.40"," 1,409,317 "," 1,409,317.34 "," 1,409,317.34 ",0.85,1,85,0.828045455,82.80454545
201601,1912.06,1892.29,1.5,0.5,1.6285,100.2,99.7,"1,664,917.00"," 1,415,179 "," 1,410,933.91 "," 1,372,724.07 ",0.85,0.97,82.45,0.83715,81.20355
201602,1916.66,1873.75,1.5,0.5,1.475,100.1,99.4,"1,671,813.60"," 1,421,042 "," 1,412,515.31 "," 1,335,779.07 ",0.85,0.94,79.9,0.8525,80.135
201603,1995.85,1972.325,1.5,0.5,1.497727273,100,99.3,"1,678,710.20"," 1,426,904 "," 1,416,915.34 "," 1,327,020.41 ",0.85,0.93,79.05,0.850227273,79.07113636
201604,1994.15,1988.94,1.5,0.5,1.468,100,99.3,"1,685,606.80"," 1,432,766 "," 1,422,736.42 "," 1,332,472.18 ",0.85,0.93,79.05,0.8532,79.3476
201605,1983.4,1964.755,1.5,0.5,1.454,100.3,99.3,"1,692,503.40"," 1,438,628 "," 1,428,557.49 "," 1,337,923.94 ",0.85,0.93,79.05,0.8546,79.4778
201606,1970.35,1964.01,1.25,0.5,1.334761905,100.6,99.2,"1,699,400.00"," 1,486,975 "," 1,475,079.20 "," 1,368,017.00 ",0.875,0.92,80.5,0.86652381,79.72019048
201607,2016.19,1987.51,1.25,0.5,1.218095238,100.9,99.4,"1,706,296.60"," 1,493,010 "," 1,484,051.47 "," 1,403,428.95 ",0.875,0.94,82.25,0.878190476,82.54990476
201608,2034.65,2028.045,1.25,0.5,1.238636364,101,99.5,"1,713,193.20"," 1,499,044 "," 1,491,548.83 "," 1,424,091.85 ",0.875,0.95,83.125,0.876136364,83.23295455
201609,2043.63,2032.68,1.25,0.5,1.314210526,100.8,99.7,"1,720,089.80"," 1,505,079 "," 1,500,563.34 "," 1,459,926.22 ",0.875,0.97,84.875,0.868578947,84.25215789
201610,2008.19,2036.36,1.25,0.5,1.3615,100.6,99.8,"1,726,986.40"," 1,511,113 "," 1,508,090.87 "," 1,480,890.84 ",0.875,0.98,85.75,0.86385,84.6573
201611,1983.48,1973.15,1.25,0.5,1.61,100.9,99.9,"1,733,883.00"," 1,517,148 "," 1,515,630.48 "," 1,501,976.15 ",0.875,0.99,86.625,0.839,83.061
201612,2026.46,2007.055,1.25,0.75,1.692727273,101.1,100.1,"1,740,779.60"," 1,523,182 "," 1,524,705.33 "," 1,538,413.97 ",0.875,1.01,88.375,0.830727273,83.90345455
201701,2067.57,2053.35,1.25,0.75,1.6445,101.6,100.3,"1,748,689.48"," 1,530,103 "," 1,534,693.61 "," 1,576,006.40 ",0.875,1.03,90.125,0.83555,86.06165
201702,2091.64,2080.64,1.25,0.75,1.666,101.6,100.5,"1,756,599.37"," 1,537,024 "," 1,544,709.57 "," 1,613,875.67 ",0.875,1.05,91.875,0.8334,87.507
201703,2160.23,2125.05,1.25,1,1.71,101.9,100.6,"1,764,509.25"," 1,543,946 "," 1,553,209.27 "," 1,636,582.33 ",0.875,1.06,92.75,0.829,87.874
